data,id
2015-08-19,36210
2015-08-19,21016
2015-08-19,31245
2015-08-19,37979
2015-08-19,38485
2015-08-19,20999
2015-08-19,41269
2015-08-19,19450
2015-08-19,24346
2015-08-20,34832
2015-08-20,41061
2015-08-20,41745
2015-08-20,43607
2015-08-20,40883
2015-08-20,40679
2015-08-20,1114
2015-08-20,29493
2015-08-20,41808
2015-08-20,39330
2015-08-20,3893
2015-08-20,36837
2015-08-20,8275
2015-08-20,42390
2015-08-20,42608
2015-08-20,19658
2015-08-20,40193
2015-08-20,42227
2015-08-20,22032
2015-08-20,39015
2015-08-20,40853
2015-08-20,43791
2015-08-20,40902
2015-08-20,13461
2015-08-20,25599
2015-08-20,40110
2015-08-20,33566
2015-08-20,38794
2015-08-21,42206
2015-08-21,44207
2015-08-21,33430
2015-08-21,41887
2015-08-21,29343
2015-08-21,28980
2015-08-21,43663
2015-08-21,39423
2015-08-21,12791
2015-08-21,42159
2015-08-21,42913
2015-08-21,21987
2015-08-21,14765
2015-08-21,42392
2015-08-21,44371
2015-08-21,40480
2015-08-21,40466
2015-08-21,40429
2015-08-21,44354
2015-08-21,14421
2015-08-21,40600
2015-08-21,13834
2015-08-21,15303
2015-08-21,24129
2015-08-21,28123
2015-08-21,15540
2015-08-21,40697
2015-08-21,33121
2015-08-21,11030
2015-08-21,16684
2015-08-21,18129
2015-08-21,14567
2015-08-21,44339
2015-08-21,44469
2015-08-21,17137
2015-08-21,20615
2015-08-21,22718
2015-08-21,15483
2015-08-21,12527
2015-08-21,40304
2015-08-21,44325
2015-08-24,25281
2015-08-24,25541
2015-08-24,13086
2015-08-24,20409
2015-08-24,24102
2015-08-24,24119
2015-08-24,33481
2015-08-24,17111
2015-08-24,6869
2015-08-24,12755
2015-08-24,13092
2015-08-24,11206
2015-08-24,12106
2015-08-25,39228
2015-08-25,42185
2015-08-25,41307
2015-08-25,41854
2015-08-25,43541
2015-08-25,41705
2015-08-25,34953
2015-08-25,38276
2015-08-25,43135
2015-08-25,42489
2015-08-25,43397
2015-08-25,42266
2015-08-25,39573
2015-08-25,40359
2015-08-25,44605
2015-08-25,41618
2015-08-25,35903
2015-08-25,35731
2015-08-25,41687
2015-08-25,40053
2015-08-25,40458
2015-08-25,42318
2015-08-25,40388
2015-08-25,6407
2015-08-25,39073
2015-08-25,42837
2015-08-25,41182
2015-08-25,36243
2015-08-25,43328
2015-08-25,38892
2015-08-25,43443
2015-08-25,43475
2015-08-25,40086
2015-08-25,40369
2015-08-25,42699
2015-08-25,39146
2015-08-25,40629
2015-08-25,43639
2015-08-25,41923
2015-08-25,42176
2015-08-25,41567
2015-08-25,42302
2015-08-25,39989
2015-08-25,42637
2015-08-26,41503
